"TIME","Amm.kg/m^3"
2021-06-27 09:18:00,1.4e-06
2021-06-27 10:18:00,1.4e-06
2021-06-27 11:18:00,1.4e-06
2021-06-27 12:18:00,1.4e-06
2021-06-27 13:18:00,1.4e-06
2021-06-27 14:18:00,1.4e-06
2021-06-27 15:18:00,1.4e-06
2021-06-27 16:18:00,1.4e-06
2021-06-27 17:18:00,1.4e-06
2021-06-27 18:18:00,1.4e-06
2021-06-27 19:18:00,1.4e-06
2021-06-27 20:18:00,1.4e-06
2021-06-27 21:18:00,1.4e-06
2021-06-27 22:18:00,1.4e-06
2021-06-27 23:18:00,1.4e-06
2021-06-28 00:18:00,1.4e-06
2021-06-28 01:18:00,1.4e-06
2021-06-28 02:18:00,1.4e-06
2021-06-28 03:18:00,1.4e-06
2021-06-28 04:18:00,1.4e-06
2021-06-28 05:18:00,1.4e-06
2021-06-28 06:18:00,1.4e-06
2021-06-28 07:18:00,1.4e-06
2021-06-28 08:18:00,1.4e-06
2021-06-28 09:18:00,1.4e-06
2021-06-28 10:18:00,1.4e-06
2021-06-28 11:18:00,1.4e-06
2021-06-28 12:18:00,1.4e-06
2021-06-28 13:18:00,1.4e-06
2021-06-28 14:18:00,1.4e-06
2021-06-28 15:18:00,1.4e-06
2021-06-28 16:18:00,1.4e-06
2021-06-28 17:18:00,1.4e-06
2021-06-28 18:18:00,1.4e-06
2021-06-28 19:18:00,1.4e-06
2021-06-28 20:18:00,1.4e-06
2021-06-28 21:18:00,1.4e-06
2021-06-28 22:18:00,1.4e-06
2021-06-28 23:18:00,1.4e-06
2021-06-29 00:18:00,1.4e-06
2021-06-29 01:18:00,1.4e-06
2021-06-29 02:18:00,1.4e-06
2021-06-29 03:18:00,1.4e-06
2021-06-29 04:18:00,1.4e-06
2021-06-29 05:18:00,1.4e-06
2021-06-29 06:18:00,1.4e-06
2021-06-29 07:18:00,1.4e-06
2021-06-29 08:18:00,1.4e-06
2021-06-29 09:18:00,1.4e-06
2021-06-29 10:18:00,1.4e-06
2021-06-29 11:18:00,1.4e-06
2021-06-29 12:18:00,1.4e-06
2021-06-29 13:18:00,1.4e-06
2021-06-29 14:18:00,1.4e-06
2021-06-29 15:18:00,1.4e-06
2021-06-29 16:18:00,1.4e-06
2021-06-29 17:18:00,1.4e-06
2021-06-29 18:18:00,1.4e-06
2021-06-29 19:18:00,1.4e-06
2021-06-29 20:18:00,1.4e-06
2021-06-29 21:18:00,1.4e-06
2021-06-29 22:18:00,1.4e-06
2021-06-29 23:18:00,1.4e-06
2021-06-30 00:18:00,1.4e-06
2021-06-30 01:18:00,1.4e-06
2021-06-30 02:18:00,1.4e-06
2021-06-30 03:18:00,1.4e-06
2021-06-30 04:18:00,1.4e-06
2021-06-30 05:18:00,1.4e-06
2021-06-30 06:18:00,1.4e-06
2021-06-30 07:18:00,1.4e-06
2021-06-30 08:18:00,1.4e-06
2021-06-30 09:18:00,1.4e-06
2021-06-30 14:59:00,1.4e-06
2021-06-30 15:59:00,1.4e-06
2021-06-30 16:59:00,1.4e-06
2021-06-30 17:59:00,1.4e-06
2021-06-30 18:59:00,1.4e-06
2021-06-30 19:59:00,1.4e-06
2021-06-30 20:59:00,1.4e-06
2021-06-30 21:59:00,1.4e-06
2021-06-30 22:59:00,1.4e-06
2021-06-30 23:59:00,1.4e-06
2021-07-01 00:59:00,1.4e-06
2021-07-01 00:59:00,NA
2021-07-01 01:59:00,1.4e-06
2021-07-01 01:59:00,NA
2021-07-01 02:59:00,1.4e-06
2021-07-01 02:59:00,NA
2021-07-01 03:59:00,1.4e-06
2021-07-01 03:59:00,NA
2021-07-01 04:59:00,1.4e-06
2021-07-01 04:59:00,NA
2021-07-01 05:59:00,1.4e-06
2021-07-01 05:59:00,NA
2021-07-01 06:59:00,1.4e-06
2021-07-01 06:59:00,NA
2021-07-01 07:59:00,1.4e-06
2021-07-01 07:59:00,NA
2021-07-01 08:59:00,1.4e-06
2021-07-01 08:59:00,NA
2021-07-01 09:59:00,1.4e-06
2021-07-01 09:59:00,NA
2021-07-01 10:59:00,1.4e-06
2021-07-01 10:59:00,NA
2021-07-01 11:59:00,1.4e-06
2021-07-01 11:59:00,NA
2021-07-01 12:59:00,1.4e-06
2021-07-01 12:59:00,NA
2021-07-01 13:59:00,1.4e-06
2021-07-01 13:59:00,NA
2021-07-01 14:59:00,1.4e-06
2021-07-01 14:59:00,NA
2021-07-01 15:59:00,1.4e-06
2021-07-01 15:59:00,NA
2021-07-01 16:59:00,1.4e-06
2021-07-01 16:59:00,NA
2021-07-01 17:59:00,1.4e-06
2021-07-01 17:59:00,NA
2021-07-01 18:59:00,1.4e-06
2021-07-01 18:59:00,NA
