"TIME","CO2.kg/m^3"
2021-10-30 16:00:00,NA
2021-10-31 10:00:00,17
2021-10-31 16:00:00,18
2021-11-01 10:00:00,17
2021-11-01 16:00:00,NA
2021-11-02 10:00:00,NA
2021-11-02 16:00:00,NA
2021-11-03 10:00:00,NA
2021-11-03 16:00:00,NA
2021-11-04 10:00:00,18
2021-11-04 16:00:00,18
2021-11-05 10:00:00,18
2021-11-05 16:00:00,17
2021-11-06 10:00:00,19
2021-11-06 16:00:00,19
2021-11-07 10:00:00,19
2021-11-07 16:00:00,19
2021-11-08 10:00:00,19
2021-11-08 16:00:00,17
2021-11-09 10:00:00,NA
2021-11-09 16:00:00,NA
2021-11-10 10:00:00,19
2021-11-10 16:00:00,19
2021-11-11 10:00:00,17
2021-11-11 16:00:00,19
2021-11-12 10:00:00,18
2021-11-12 16:00:00,19
2021-11-13 10:00:00,18
2021-11-13 16:00:00,19
2021-11-14 10:00:00,19
2021-11-14 16:00:00,18
2021-11-15 10:00:00,19
2021-11-15 16:00:00,NA
2021-11-16 10:00:00,NA
2021-11-16 16:00:00,NA
2021-11-17 10:00:00,22
2021-11-17 16:00:00,22
2021-11-18 10:00:00,22
2021-11-18 16:00:00,22
2021-11-19 10:00:00,20
2021-11-19 16:00:00,22
2021-11-20 10:00:00,20
2021-11-20 16:00:00,22
2021-11-21 10:00:00,20
2021-11-21 16:00:00,20
2021-11-22 10:00:00,22
2021-11-22 16:00:00,NA
2021-11-23 10:00:00,NA
2021-11-23 16:00:00,NA
2021-11-24 10:00:00,20
2021-11-24 16:00:00,22
2021-11-25 10:00:00,20
2021-11-25 16:00:00,22
2021-11-26 10:00:00,24
2021-11-26 16:00:00,23
2021-11-27 10:00:00,22
2021-11-27 16:00:00,22
2021-11-28 10:00:00,22
2021-11-28 16:00:00,NA
2021-11-29 10:00:00,NA
2021-11-29 16:00:00,NA
2021-11-30 10:00:00,NA
2021-11-30 16:00:00,NA
2021-12-01 10:00:00,22
2021-12-01 16:00:00,NA
2021-12-02 10:00:00,22
2021-12-02 16:00:00,NA
2021-12-03 10:00:00,NA
2021-12-03 16:00:00,NA
2021-12-04 10:00:00,22
2021-12-04 16:00:00,22
2021-12-05 10:00:00,22
2021-12-05 16:00:00,22
2021-12-06 10:00:00,22
2021-12-06 16:00:00,21
2021-12-07 10:00:00,22
2021-12-07 16:00:00,NA
2021-12-08 10:00:00,NA
2021-12-08 16:00:00,NA
2021-12-09 10:00:00,23
2021-12-09 16:00:00,22
2021-12-10 10:00:00,22
2021-12-10 16:00:00,22
2021-12-11 10:00:00,NA
2021-12-11 16:00:00,NA
2021-12-12 10:00:00,21
2021-12-12 16:00:00,21
2021-12-13 10:00:00,22
2021-12-13 16:00:00,21
2021-12-14 10:00:00,21
2021-12-14 16:00:00,NA
2021-12-15 10:00:00,NA
2021-12-15 16:00:00,NA
2021-12-16 10:00:00,22
2021-12-16 16:00:00,21
2021-12-17 10:00:00,22
2021-12-17 16:00:00,21
2021-12-18 10:00:00,22
2021-12-18 16:00:00,21
2021-12-19 10:00:00,20
2021-12-19 16:00:00,20
2021-12-20 10:00:00,21
2021-12-20 16:00:00,21
2021-12-21 10:00:00,20
2021-12-21 16:00:00,NA
2021-12-22 10:00:00,NA
2021-12-22 16:00:00,NA
2021-12-23 10:00:00,23
2021-12-23 16:00:00,22
2021-12-24 10:00:00,22
2021-12-24 16:00:00,21
2021-12-25 10:00:00,22
2021-12-25 16:00:00,22
2021-12-26 10:00:00,21
2021-12-26 16:00:00,22
2021-12-27 10:00:00,22
2021-12-27 16:00:00,NA
2021-12-28 10:00:00,NA
2021-12-28 16:00:00,NA
2021-12-29 10:00:00,NA
2021-12-29 16:00:00,NA
2021-12-30 10:00:00,23
2021-12-30 16:00:00,22
2021-12-31 10:00:00,22
2021-12-31 16:00:00,22
2022-01-01 10:00:00,23
2022-01-01 16:00:00,23
2022-01-02 10:00:00,22
2022-01-02 16:00:00,22
2022-01-03 10:00:00,21
2022-01-03 16:00:00,22
2022-01-04 10:00:00,NA
2022-01-04 16:00:00,NA
2022-01-05 10:00:00,NA
2022-01-05 16:00:00,NA
2022-01-06 10:00:00,22
2022-01-06 16:00:00,21
2022-01-07 10:00:00,22
2022-01-07 16:00:00,22
2022-01-08 10:00:00,23
2022-01-08 16:00:00,23
2022-01-09 10:00:00,NA
2022-01-09 16:00:00,NA
2022-01-10 10:00:00,22
2022-01-10 16:00:00,22
2022-01-11 10:00:00,21
2022-01-11 16:00:00,NA
2022-01-12 10:00:00,NA
2022-01-12 16:00:00,NA
2022-01-13 10:00:00,24
2022-01-13 16:00:00,NA
2022-01-14 10:00:00,23
2022-01-14 16:00:00,23
2022-01-15 10:00:00,24
2022-01-15 16:00:00,24
2022-01-16 10:00:00,22
2022-01-16 16:00:00,23
2022-01-17 10:00:00,24
2022-01-17 16:00:00,23
2022-01-18 10:00:00,24
2022-01-18 16:00:00,NA
2022-01-19 10:00:00,NA
2022-01-19 16:00:00,NA
2022-01-20 10:00:00,21
2022-01-20 16:00:00,22
2022-01-21 10:00:00,24
2022-01-21 16:00:00,23
2022-01-22 10:00:00,22
2022-01-22 16:00:00,23
2022-01-23 10:00:00,24
2022-01-23 16:00:00,23
2022-01-24 10:00:00,24
2022-01-24 16:00:00,25
2022-01-25 10:00:00,25
2022-01-25 16:00:00,NA
2022-01-26 10:00:00,NA
2022-01-26 16:00:00,NA
2022-01-27 10:00:00,25
2022-01-27 16:00:00,24
2022-01-28 10:00:00,24
2022-01-28 16:00:00,23
2022-01-29 10:00:00,24
2022-01-29 16:00:00,25
2022-01-30 10:00:00,24
2022-01-30 16:00:00,22
2022-01-31 10:00:00,22
2022-01-31 16:00:00,23
2022-02-01 10:00:00,21
2022-02-01 16:00:00,NA
2022-02-02 10:00:00,NA
2022-02-02 16:00:00,NA
2022-02-03 10:00:00,22
2022-02-03 16:00:00,23
NA,NA
NA,24
