"TIME","K.kg/m^3"
2021-06-19 21:53:00,0.147851
2021-06-19 22:08:00,0.147829
2021-06-19 22:23:00,0.148055
2021-06-19 22:38:00,0.148272
2021-06-19 22:53:00,0.14806
2021-06-19 23:08:00,0.14823
2021-06-19 23:23:00,0.148438
2021-06-19 23:38:00,0.148262
2021-06-19 23:53:00,0.148363
2021-06-20 00:08:00,0.14823
2021-06-20 00:23:00,0.148296
2021-06-20 00:38:00,0.148238
2021-06-20 00:53:00,0.148376
2021-06-20 01:08:00,0.148333
2021-06-20 01:23:00,0.148465
2021-06-20 01:38:00,0.148278
2021-06-20 01:53:00,0.148428
2021-06-20 02:08:00,0.148464
2021-06-20 02:23:00,0.14847
2021-06-20 02:38:00,0.148481
2021-06-20 02:53:00,0.148464
2021-06-20 03:08:00,0.148645
2021-06-20 03:23:00,0.148587
2021-06-20 03:38:00,0.148635
2021-06-20 03:53:00,0.148624
2021-06-20 04:08:00,0.148739
2021-06-20 04:23:00,0.148735
2021-06-20 04:38:00,0.148783
2021-06-20 04:53:00,0.148712
2021-06-20 05:08:00,0.148697
2021-06-20 05:23:00,0.148743
2021-06-20 05:38:00,0.149657
2021-06-20 05:53:00,0.149524
2021-06-20 06:08:00,0.149522
2021-06-20 06:23:00,0.149414
2021-06-20 06:38:00,0.149353
2021-06-20 06:53:00,0.149328
2021-06-20 07:08:00,0.149277
2021-06-20 07:23:00,0.14913
2021-06-20 07:38:00,0.14911
2021-06-20 07:53:00,0.149004
2021-06-20 08:08:00,0.148853
2021-06-20 08:23:00,0.147641
2021-06-20 08:38:00,0.147493
2021-06-20 08:53:00,0.147422
2021-06-20 09:08:00,0.147374
2021-06-20 09:23:00,0.147227
2021-06-20 09:38:00,0.147139
2021-06-20 09:53:00,0.14713
2021-06-20 10:08:00,0.146875
2021-06-20 10:23:00,0.14673
2021-06-20 10:38:00,0.146543
2021-06-20 10:53:00,0.146428
2021-06-20 11:08:00,0.146115
2021-06-20 11:23:00,0.145871
2021-06-20 11:38:00,0.145887
2021-06-20 11:53:00,0.145701
2021-06-20 12:08:00,0.14556
2021-06-20 12:23:00,0.145352
2021-06-20 12:38:00,0.145248
2021-06-20 12:53:00,0.145274
2021-06-20 13:08:00,0.145237
2021-06-20 13:23:00,0.145211
2021-06-20 13:38:00,0.145224
2021-06-20 13:53:00,0.145207
2021-06-20 14:08:00,0.14508
2021-06-20 14:23:00,0.145115
2021-06-20 14:38:00,0.144937
2021-06-20 14:53:00,0.144819
2021-06-20 15:08:00,0.144919
2021-06-20 15:23:00,0.145045
2021-06-20 15:38:00,0.145309
2021-06-20 15:53:00,0.145328
2021-06-20 16:08:00,0.145413
2021-06-20 16:23:00,0.145478
2021-06-20 16:38:00,0.145586
2021-06-20 16:53:00,0.145585
2021-06-20 17:08:00,0.14582
2021-06-20 17:23:00,0.145886
2021-06-20 17:38:00,0.145986
2021-06-20 17:53:00,0.146076
2021-06-20 18:08:00,0.146158
2021-06-20 18:23:00,0.146261
2021-06-20 18:38:00,0.146339
2021-06-20 18:53:00,0.146495
2021-06-20 19:08:00,0.14649
2021-06-20 19:23:00,0.146611
2021-06-20 19:38:00,0.146836
2021-06-20 19:53:00,0.146903
2021-06-20 20:08:00,0.147002
2021-06-20 20:23:00,0.147072
2021-06-20 20:38:00,0.147291
2021-06-20 20:53:00,0.147464
2021-06-20 21:08:00,0.147601
2021-06-20 21:23:00,0.147752
2021-06-20 21:38:00,0.147893
2021-06-20 21:53:00,0.147903
2021-06-20 22:08:00,0.147976
2021-06-20 22:23:00,0.14801
2021-06-20 22:38:00,0.148072
2021-06-20 22:53:00,0.148133
2021-06-20 23:08:00,0.148115
2021-06-20 23:23:00,0.148133
2021-06-20 23:38:00,0.148091
2021-06-20 23:53:00,0.148176
2021-06-21 00:08:00,0.148146
2021-06-21 00:23:00,0.148162
2021-06-21 00:38:00,0.148163
2021-06-21 00:53:00,0.148224
2021-06-21 01:08:00,0.148064
2021-06-21 01:23:00,0.148157
2021-06-21 01:38:00,0.148165
2021-06-21 01:53:00,0.14825
2021-06-21 02:08:00,0.147827
2021-06-21 02:23:00,0.147841
2021-06-21 02:38:00,0.147792
2021-06-21 02:53:00,0.148246
2021-06-21 03:08:00,0.148226
2021-06-21 03:23:00,0.147881
2021-06-21 03:38:00,0.147998
2021-06-21 03:53:00,0.147905
2021-06-21 04:08:00,0.14793
2021-06-21 04:23:00,0.147956
2021-06-21 04:38:00,0.147936
2021-06-21 04:53:00,0.147888
2021-06-21 05:08:00,0.147963
2021-06-21 05:23:00,0.147942
2021-06-21 05:38:00,0.147732
2021-06-21 05:53:00,0.147716
2021-06-21 06:08:00,0.147643
2021-06-21 06:23:00,0.147469
2021-06-21 06:38:00,0.147412
2021-06-21 06:53:00,0.147259
2021-06-21 07:08:00,0.147187
2021-06-21 07:23:00,0.14681
2021-06-21 07:38:00,0.14715
2021-06-21 07:53:00,0.1473
2021-06-21 08:08:00,0.147115
2021-06-21 08:23:00,0.146867
2021-06-21 08:38:00,0.146796
2021-06-21 08:53:00,0.14662
2021-06-21 09:08:00,0.146406
2021-06-21 09:23:00,0.146154
2021-06-21 09:38:00,0.145878
2021-06-21 09:53:00,0.14573
2021-06-21 10:08:00,0.145795
2021-06-21 10:23:00,0.146314
2021-06-21 10:38:00,0.146915
2021-06-21 10:53:00,0.147096
2021-06-21 11:08:00,0.14691
2021-06-21 11:23:00,0.146392
2021-06-21 11:38:00,0.146379
2021-06-21 11:53:00,0.14605
2021-06-21 12:08:00,0.146188
2021-06-21 12:23:00,0.146186
2021-06-21 12:38:00,0.146509
2021-06-21 12:53:00,0.146323
2021-06-21 13:08:00,0.146573
2021-06-21 13:23:00,0.14616
